formTypeCd,reportInfoIdent,receivedDt,filerIdent,filerTypeCd,filerName,contributionInfoId,contributionDt,contributionAmount,contributionDescr,itemizeFlag,travelFlag,contributorPersentTypeCd,contributorNameOrganization,contributorNameLast,contributorNameFirst,contributorNameShort,contributorStreetCountyCd,contributorStreetCountryCd,contributorStreetPostalCode,contributorEmployer,contributorJobTitle,contributorPacFein,contributor_id
MPAC,392135,20081128.0,10883,MPAC,El Paso Corporation PAC,100007521,20081101.0,4182.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,355969,20080102.0,10883,MPAC,El Paso Corporation PAC,100007522,20071201.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,372869,20080528.0,10883,MPAC,El Paso Corporation PAC,100007523,20080501.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,244526,20040303.0,10883,MPAC,EL PASO CORPORATION PAC,100007524,20040201.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,424798,20090826.0,10883,MPAC,El Paso Corporation PAC,100007525,20090801.0,1664.7,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,366408,20080227.0,10883,MPAC,El Paso Corporation PAC,100008026,20080201.0,75.0,,Y,N,ENTITY,El Psao Corporation,,,,,,,,,,40138
MPAC,375049,20080701.0,10883,MPAC,EL Paso Coporation PAC,100008027,20080601.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,30503,,,,39946
MPAC,386284,20081002.0,10883,MPAC,El Paso Corporation PAC,100008028,20080901.0,15398.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,20816,,,,39946
MPAC,407737,20090330.0,10883,MPAC,El Paso Corporation PAC,100008029,20090302.0,10.07,,Y,N,ENTITY,Comerica Bank,,,,,USA,48275,,,,27768
MPAC,390243,20081030.0,10883,MPAC,El Paso Corporation PAC,100008030,20081001.0,5455.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,411252,20090427.0,10883,MPAC,El Paso Corporation PAC,100008031,20090401.0,4635.76,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,368162,20080327.0,10883,MPAC,El Paso Corporation PAC,100008532,20080301.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,80129,,,,39946
MPAC,416128,20090626.0,10883,MPAC,El Paso Corporation PAC,100008533,20090601.0,9072.16,,Y,N,ENTITY,El Paso Corporation Pac,,,,,USA,85732,,,,39950
MPAC,426445,20090929.0,10883,MPAC,El Paso Corporation PAC,100008534,20090901.0,2227.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,USA,99503,,,,39950
MPAC,247984,20040427.0,10883,MPAC,EL PASO CORPORATION PAC,100008535,20040401.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,262145,20041202.0,10883,MPAC,EL PASO CORPORATION PAC,100010038,20041101.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,245980,20040401.0,10883,MPAC,EL PASO CORPORATION PAC,100010039,20040301.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,252133,20040628.0,10883,MPAC,EL PASO CORPORATION PAC,100010040,20040601.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,404430,20090302.0,10883,MPAC,El Paso Corporation PAC,100010041,20090201.0,4982.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,257935,20040930.0,10883,MPAC,EL PASO CORPORATION PAC,100010542,20040901.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,256664,20040827.0,10883,MPAC,EL PASO CORPORATION PAC,100010543,20040801.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,287898,20050908.0,10883,MPAC,El Paso Corporation PAC,100010544,20050601.0,75.0,,Y,N,ENTITY,El Paso  Corporation,,,,,,,,,,39892
MPAC,241665,20040204.0,10883,MPAC,EL PASO CORPORATION PAC,100011045,20040101.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,285272,20050726.0,10883,MPAC,EL PASO CORPORATION PAC,100011046,20050701.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,272293,20050228.0,10883,MPAC,EL PASO CORPORATION PAC,100011047,20050201.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,263638,20041227.0,10883,MPAC,EL PASO CORPORATION PAC,100011048,20041201.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,276048,20050426.0,10883,MPAC,EL PASO CORPORATION PAC,100011549,20050401.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,259979,20041025.0,10883,MPAC,EL PASO CORPORATION PAC,100011550,20041001.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,279026,20050531.0,10883,MPAC,EL PASO CORPORATION PAC,100011551,20050501.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,270265,20050127.0,10883,MPAC,EL PASO CORPORATION PAC,100011552,20050101.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,447388,20100401.0,10883,MPAC,El Paso Corporation PAC,100011553,20100301.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,291573,20051129.0,10883,MPAC,El Paso Corporation PAC,100012054,20051101.0,75.0,,Y,N,ENTITY,El Paso  Corporation,,,,,,,,,,39892
MPAC,273827,20050329.0,10883,MPAC,EL PASO CORPORATION PAC,100012055,20050301.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,441926,20100204.0,10883,MPAC,El Paso Corporation PAC,100012556,20100101.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,428299,20091027.0,10883,MPAC,El Paso Corporation PAC,100013057,20091001.0,1474.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,USA,20003,,,,39950
MPAC,291573,20051129.0,10883,MPAC,El Paso Corporation PAC,100013058,20051101.0,77.32,,Y,N,ENTITY,Comerica Bank,,,,,USA,48275,Bank,,,27768
MPAC,290254,20051026.0,10883,MPAC,El Paso Corporation PAC,100013559,20051001.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,287144,20050830.0,10883,MPAC,El Paso Corporation PAC,100013560,20050801.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,450852,20100503.0,10883,MPAC,El Paso Corporation PAC,100013561,20100401.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,78504,,,,39946
CORPAC,454413,20100701.0,10883,MPAC,El Paso Corporation PAC,100014062,20100501.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,293643,20051227.0,10883,MPAC,El Paso Corporation,100014063,20051201.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,288811,20050928.0,10883,MPAC,El Paso Corporation PAC,100014064,20050901.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,280613,20050627.0,10883,MPAC,EL PASO CORPORATION PAC,100014065,20050601.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,452692,20100603.0,10883,MPAC,El Paso Corporation PAC,100014066,20100501.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,445526,20100301.0,10883,MPAC,El Paso Corporation PAC,100014567,20100201.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,480715,20110201.0,10883,MPAC,El Paso Corporation PAC,100014568,20110101.0,3257.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,432539,20091229.0,10883,MPAC,El Paso Corporation PAC,100015069,20091201.0,1550.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,454875,20100702.0,10883,MPAC,El Paso Corporation PAC,100015070,20100601.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,492183,20110531.0,10883,MPAC,El Paso Corporation PAC,100015571,20110501.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,430111,20091201.0,10883,MPAC,El Paso Corporation PAC,100015572,20091125.0,1474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,467359,20101029.0,10883,MPAC,El Paso Corporation PAC,100016073,20101001.0,3324.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,459420,20100729.0,10883,MPAC,El Paso Corporation PAC,100016574,20100701.0,9232.6,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,235729,20040102.0,10883,MPAC,EL PASO CORPORATION PAC,100016575,20031201.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,463683,20101004.0,10883,MPAC,El Paso Corporation PAC,100017577,20100901.0,2474.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,461292,20100902.0,10883,MPAC,El Paso Corporation PAC,100017578,20100801.0,1684.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,43215,,,,39946
MPAC,472197,20101230.0,10883,MPAC,El Paso Corporation PAC,100017579,20101201.0,18036.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,469306,20101202.0,10883,MPAC,El Paso Corporation PAC,100018080,20101101.0,3124.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,483097,20110302.0,10883,MPAC,El Paso Corporation PAC,100018081,20110201.0,1433.33,,Y,N,ENTITY,El Paso Corporation,,,,,USA,43220,,,,39946
MPAC,234230,20031203.0,10883,MPAC,EL PASO CORPORATION PAC,100018082,20031101.0,75.0,ADMINISTRATIVE EXPENSE,Y,N,ENTITY,El Paso Corporation,,,,,USA,20004,,,,39946
MPAC,319392,20060929.0,10883,MPAC,El Paso Corproation PAC,100018083,20060901.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,75208,,,,39946
MPAC,316667,20060726.0,10883,MPAC,El Paso Corporation PAC,100018584,20060701.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,308898,20060428.0,10883,MPAC,El Paso Corporation PAC,100018585,20060401.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,318043,20060828.0,10883,MPAC,El Paso Corporation PAC,100018586,20060801.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,92085,,,,39946
MPAC,323134,20061101.0,10883,MPAC,El Paso Corporation PAC,100018587,20061001.0,75.0,,Y,N,ENTITY,El Paso Corproation,,,,,,,,,,39954
MPAC,312708,20060630.0,10883,MPAC,EL PASO CORPORATION PAC,100019088,20060601.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,319392,20060929.0,10883,MPAC,El Paso Corproation PAC,100019089,20060901.0,142.24,,Y,N,ENTITY,Comerica Bank,,,,,USA,48275,,,,27768
MPAC,306393,20060328.0,10883,MPAC,El Paso Corporation PAC,100019090,20060301.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,311114,20060601.0,10883,MPAC,El Paso Corporation PAC,100019591,20060501.0,75.0,,Y,N,ENTITY,El Paso Corporation Pac,,,,,,,,,,39950
MPAC,301478,20060206.0,10883,MPAC,El Paso Corporation PAC,100019592,20060101.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,324726,20061128.0,10883,MPAC,El Paso Corporation PAC,100019593,20061101.0,75.0,,Y,N,ENTITY,El Paso Corproation,,,,,,,,,,39954
MPAC,304828,20060301.0,10883,MPAC,El Paso Corporation,100020094,20060201.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,494519,20110629.0,10883,MPAC,El Paso Corporation PAC,100020095,20110601.0,1824.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,19026,,,,39946
MPAC,485278,20110401.0,10883,MPAC,El Paso Corporation PAC,100020596,20110301.0,1500.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,503144,20111001.0,10883,MPAC,El Paso Corporation PAC,100020597,20110901.0,1824.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,499901,20110802.0,10883,MPAC,El Paso Corporation PAC,100020598,20110701.0,2024.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,504825,20111028.0,10883,MPAC,El Paso Corporation PAC,100021099,20111001.0,2349.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,501562,20110902.0,10883,MPAC,El Paso Corporation PAC,100021100,20110801.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,506715,20111130.0,10883,MPAC,El Paso Corporation PAC,100021601,20111101.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,489497,20110503.0,10883,MPAC,El Paso Corporation PAC,100021602,20110401.0,1630.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,509784,20120103.0,10883,MPAC,El Paso Corporation PAC,100022604,20111201.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,531048,20120523.0,10883,MPAC,El Paso Corporation PAC,100023105,20120501.0,1480.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,519759,20120228.0,10883,MPAC,El Paso Corporation PAC,100023106,20120201.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,521512,20120326.0,10883,MPAC,El Paso Corporation PAC,100023107,20120301.0,1480.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,527709,20120502.0,10883,MPAC,El Paso Corporation PAC,100023108,20120401.0,1510.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,518133,20120201.0,10883,MPAC,El Paso Corporation PAC,100023109,20120101.0,1760.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,77002,,,,39946
MPAC,347895,20070802.0,10883,MPAC,El Paso Corporation PAC,100023610,20070701.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,342573,20070604.0,10883,MPAC,El Paso Corporation PAC,100023611,20070501.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,353233,20071126.0,10883,MPAC,El Paso Corporation PAC,100023612,20071101.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,333610,20070129.0,10883,MPAC,El Paso Corporation PAC,100023613,20070101.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,351873,20071030.0,10883,MPAC,El Paso Corporation PAC,100023614,20071001.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,326733,20061226.0,10883,MPAC,El Paso Corporation PAC,100024115,20061201.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,19110,,,,39946
MPAC,339857,20070427.0,10883,MPAC,,100024116,20070401.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,337255,20070327.0,10883,MPAC,El Paso Corporation PAC,100024117,20070301.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,343741,20070626.0,10883,MPAC,El Paso Corporation PAC,100024118,20070601.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,350211,20070926.0,10883,MPAC,El Paso Corporation PAC,100024119,20070901.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,USA,20003,,,,39946
MPAC,348971,20070828.0,10883,MPAC,El Paso Corporation PAC,100024620,20070801.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,335687,20070228.0,10883,MPAC,El Paso Corporation PAC,100024621,20070201.0,75.0,,Y,N,ENTITY,El Paso Corporation,,,,,,,,,,39946
MPAC,199462,20020702.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100026124,20020622.0,1330.71,,Y,N,ENTITY,Tca District 8,,,,,USA,78731,,,,127644
MPAC,179393,20010823.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100026125,20010630.0,500.0,,Y,N,ENTITY,Tca District 10,,,,,USA,78218,,,,127642
MPAC,180405,20010928.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100026626,20010925.0,30.0,,Y,N,ENTITY,New Heights Development,,,,,USA,79606,,,,97715
MPAC,603849,20140205.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100028129,20140101.0,500.0,,Y,N,ENTITY,Omni Chiropractic,,,,,USA,78411,,,,99982
MPAC,218930,20030319.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100028130,20030220.0,1000.0,,Y,N,ENTITY,Tca District 8,,,,,USA,78731,,,,127644
MPAC,232982,20031103.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100028631,20031021.0,45.0,,Y,N,ENTITY,Tca District 8,,,,,USA,78731,,,,127644
MPAC,225778,20030630.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100029132,20030614.0,3970.0,,Y,N,ENTITY,Tca District 10,,,,,USA,78218,,,,127642
MPAC,541024,20120806.0,11832,MPAC,Texas Chiropractic Association P.A.C.,100030635,20120710.0,5000.0,,Y,N,ENTITY,Texas Chiropractic Association District 5 Pac,,,,,USA,75228,,,,131668
PTYCORP,560507,20130115.0,11906,PTYCORP,Texas Democratic Party,100032639,20121201.0,500.0,,Y,N,ENTITY,Energy Future Holdings,,,,,USA,75201,,,,41274
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032640,20130201.0,300.0,,Y,N,ENTITY,"Charlaine Harris, Inc.",,,,,USA,76049,,,,23558
PTYCORP,560507,20130115.0,11906,PTYCORP,Texas Democratic Party,100032641,20121201.0,2000.0,,Y,N,ENTITY,Energy Future Holdings,,,,,USA,75201,,,,41274
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032642,20130201.0,610.85,,Y,N,ENTITY,Hilton Worldwide Hq,,,,,USA,22102,,,,56762
PTYCORP,560507,20130115.0,11906,PTYCORP,Texas Democratic Party,100032643,20121221.0,98.84,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032644,20130109.0,4924.37,,Y,N,ENTITY,Texas Democratic Party - Primary,,,,,USA,78741,,,,132174
PTYCORP,560507,20130115.0,11906,PTYCORP,Texas Democratic Party,100032645,20121214.0,800.0,,Y,N,ENTITY,Dikita Enterprise Inc.,,,,,USA,75247,,,,36178
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032646,20130329.0,63.71,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,560507,20130115.0,11906,PTYCORP,Texas Democratic Party,100032647,20121204.0,85.43,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032648,20130201.0,1000.0,,Y,N,ENTITY,Usaa,,,,,USA,78288,,,,147014
PTYCORP,239880,20040115.0,11906,PTYCORP,Texas Democratic Party,100032649,20030903.0,250.0,,Y,N,ENTITY,Cwa Retired Members Club Local 6290,,,,,USA,75204,,,,31218
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032650,20130326.0,250.0,,Y,N,ENTITY,Hester,,,,,USA,79912,,,,56069
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032651,20040518.0,40.0,,Y,N,ENTITY,Washington County Democratic Party,,,,,USA,77834,,,,150009
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032652,20130201.0,1000.0,,Y,N,ENTITY,Texas Afl-Cio General Fund,,,,,USA,78701,,,,129386
PTYCORP,244401,20040302.0,11906,PTYCORP,Texas Democratic Party,100032653,20040227.0,20000.0,,Y,N,ENTITY,Texas Democratic Party - Eft,,,,,USA,78701,,,,132170
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032654,20130326.0,550.0,,Y,N,ENTITY,El Paso Clu,,,,,USA,79997,,,,39938
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032655,20130326.0,100.0,,Y,N,ENTITY,Moore Nordell Kroeger Architects Inc,,,,,USA,79912-1744,,,,93830
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032656,20040506.0,400.0,,Y,N,ENTITY,Texas Watch,,,,,USA,78701,,,,136618
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032657,20130201.0,19.61,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,244401,20040302.0,11906,PTYCORP,Texas Democratic Party,100032658,20040225.0,900.0,,Y,N,ENTITY,Two Unemployed Democrats,,,,,USA,78715,,,,144740
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032659,20130313.0,1000.0,,Y,N,ENTITY,"Centerpoint Energy Services Company, Llc",,,,,USA,78701,,,,22820
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032660,20040518.0,100.0,,Y,N,ENTITY,Hewitt Campaigns Inc.,,,,,USA,78701,,,,56087
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032661,20130223.0,76.34,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,244401,20040302.0,11906,PTYCORP,Texas Democratic Party,100032662,20040211.0,10000.0,,Y,N,ENTITY,Medical Multimedia Advertising Inc.,,,,,USA,77002,,,,90357
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032663,20130207.0,5000.0,,Y,N,ENTITY,Texas Aft Solidarity Fund,,,,,USA,78704,,,,129439
PTYCORP,244401,20040302.0,11906,PTYCORP,Texas Democratic Party,100032664,20040123.0,1500.0,,Y,N,ENTITY,Texas Afl-Cio General Fund,,,,,USA,78701,,,,129386
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032665,20130326.0,500.0,,Y,N,ENTITY,Gcc Rio Grande Inc,,,,,USA,79922,,,,48398
PTYCORP,244401,20040302.0,11906,PTYCORP,Texas Democratic Party,100032666,20040123.0,1000.0,,Y,N,ENTITY,Medical Multimedia Advertising Inc.,,,,,USA,77002,,,,90357
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032667,20130326.0,100.0,,Y,N,ENTITY,Mendoza,,,,,USA,79930,,,,90878
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032668,20040413.0,400.0,,Y,N,ENTITY,Texas Democratic Women,,,,,USA,78768,,,,132192
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032669,20130603.0,500.0,,Y,N,ENTITY,"Gold Communications Co., Inc.",,,,,USA,78701,,,,50237
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032670,20040518.0,4250.0,,Y,N,ENTITY,Texas Afl-Cio General Fund,,,,,USA,78701,,,,129386
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032671,20130529.0,49.15,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032672,20040518.0,40.0,,Y,N,ENTITY,Waller County Democratic Party Fund,,,,,USA,77447,,,,149627
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032673,20130503.0,10.1,,Y,N,ENTITY,Cgbc Llc,,,,,USA,32413,,,,23215
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032674,20040413.0,400.0,,Y,N,ENTITY,Texans For Medical Marijauna,,,,,USA,78711,,,,129077
PTYCORP,579587,20130712.0,11906,PTYCORP,Texas Democratic Party,100032675,20130426.0,500.0,,Y,N,ENTITY,Gcc Rio Grande Inc,,,,,USA,79922,,,,48398
PTYCORP,255159,20040716.0,11906,PTYCORP,Texas Democratic Party,100032676,20040413.0,25.0,,Y,N,ENTITY,Brazos County Democratic Party,,,,,USA,77805,,,,16838
