district,filer_id,first_name,id,last_name,middle_name,offices,party,photo_url,sources
3,35962,Robert,TXL000200,Nichols,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0103', 'fax': None}, {'type': 'district', 'email': None, 'address': '329 Neches Street\nJacksonville, Texas 75766', 'name': 'District Office', 'phone': '903-589-3003', 'fax': '903-589-0203'}, {'type': 'district', 'email': None, 'address': '15260 Hwy 105 W., Suite 230-H, Box 5\nWaterpoint Building #3\nMontgomery, TX 77356', 'name': 'District Office', 'phone': '936-588-7391', 'fax': '936-588-1713'}, {'type': 'district', 'email': None, 'address': '202 E. Pilar St., Ste. 309\nNacogdoches, Texas 75961', 'name': 'District Office', 'phone': '936-564-4252', 'fax': '936-564-4276'}, {'type': 'district', 'email': None, 'address': '2915 Atkinson Drive\nLufkin, Texas 75901', 'name': 'District Office', 'phone': '936-699-4988', 'fax': '936-699-4991'}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1400.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist3/dist3.htm'}]
12,20673,Jane,TXL000199,Nelson,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0112', 'fax': '512-463-0923'}, {'type': 'district', 'email': None, 'address': '1235 S. Main Street, Suite 280\nGrapevine, Texas 76051', 'name': 'District Office', 'phone': '817-424-3446', 'fax': '817-488-6648'}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1450.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist12/dist12.htm'}]
,20966,Florence,TXL000204,Shapiro,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0108', 'fax': None}, {'type': 'district', 'email': None, 'address': '5000 Legacy Dr., Ste. 494\nPlano, TX 75024', 'name': 'District address', 'phone': '(972) 403-3404', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1530.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1530'}]
30,33299,Craig,TXL000190,Estes,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0130', 'fax': '512-463-8874'}, {'type': 'district', 'email': None, 'address': '2525 Kell Blvd., Suite 302\nWichita Falls, Texas 76308', 'name': 'District Office', 'phone': '940-689-0191', 'fax': '940-689-0194'}, {'type': 'district', 'email': None, 'address': '4401 N. I-H 35, #202\nDenton, Texas 76207', 'name': 'District Office', 'phone': '940-898-0331', 'fax': '940-898-0926'}, {'type': 'district', 'email': None, 'address': 'P.O. Box 397\nMineral Wells, TX 76068', 'name': 'District Office', 'phone': '76068-0397', 'fax': '940-325-3518'}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1180.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist30/dist30.htm'}]
14,23391,Kirk,TXL000208,Watson,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0114', 'fax': None}]",Democratic,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1610.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist14/dist14.htm'}]
128,38199,Wayne,TXL000342,Smith,,"[{'type': 'capitol', 'email': None, 'address': 'Room GN.8\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0733', 'fax': '512-463-1323'}, {'type': 'district', 'email': None, 'address': '909 Decker Drive, Suite 104\nBaytown, TX 77520', 'name': 'District Office', 'phone': '832-556-2002', 'fax': '832-556-0319'}]",Republican,http://www.house.state.tx.us/photos/members/4540.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=128'}]
,62095,Wendy,TXL000184,Davis,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0110', 'fax': None}, {'type': 'district', 'email': None, 'address': '707 W. Vickery Blvd., Suite 102\nFort Worth, TX 76104', 'name': 'District address', 'phone': '817-332-3338', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1155.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1155'}]
,41196,Bob,TXL000185,Deuell,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0102', 'fax': None}, {'type': 'district', 'email': None, 'address': '18601 LBJ Freeway, Ste. 400\nMesquite, TX 75150', 'name': 'District address', 'phone': '972-279-1800', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1160.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1160'}]
1,36573,Kevin,TXL000189,Eltife,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0101', 'fax': None}, {'type': 'district', 'email': None, 'address': '3304 South Broadway\nSuite  103\nTyler,  Texas 75701', 'name': 'District Office', 'phone': '903-596-9122', 'fax': None}, {'type': 'district', 'email': None, 'address': '101 East Methvin\nSuite 301\nLongview, Texas  75601', 'name': 'District Office', 'phone': '903-753-8137', 'fax': None}, {'type': 'district', 'email': None, 'address': '5411 Plaza Drive Suite D\nTexarkana, Texas  75503', 'name': 'District Office', 'phone': '903-223-7931', 'fax': None}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1225.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist1/dist1.htm'}]
24,32509,Troy,TXL000191,Fraser,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0124', 'fax': None}, {'type': 'district', 'email': None, 'address': '1920 North Main, Suite 101\nBelton, Texas 76513', 'name': 'District Office', 'phone': '254-939-3562', 'fax': '254-939-7611'}, {'type': 'district', 'email': None, 'address': '500 Chestnut\nSuite 810\nAbilene, Texas 79602', 'name': 'District Office', 'phone': '325-676-7404', 'fax': '325-676-8060'}, {'type': 'district', 'email': None, 'address': '101 Highway 281 North, Suite 203\nMarble Falls, Texas 78654', 'name': 'District Office', 'phone': '830-693-9900', 'fax': '830-693-9603'}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1190.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist24/dist24.htm'}]
,20069,Mario,TXL000192,Gallegos,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0106', 'fax': None}, {'type': 'district', 'email': None, 'address': 'P.O. Box 41\nGalena Park, TX 77547', 'name': 'District address', 'phone': '(713) 678-8600', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1245.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1245'}]
,20421,Chris,TXL000193,Harris,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0109', 'fax': None}, {'type': 'district', 'email': None, 'address': '2001 E. Lamar Blvd., Suite 150\nArlington, TX 76006', 'name': 'District address', 'phone': '(817) 461-9109', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1215.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1215'}]
,51286,Glenn,TXL000194,Hegar,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0118', 'fax': None}, {'type': 'district', 'email': None, 'address': 'P.O. Box 1008\nKaty, TX 77492', 'name': 'District address', 'phone': '281-391-8883', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1230.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1230'}]
20,66227,"Juan ""Chuy""",TXL000195,Hinojosa,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0120', 'fax': '512-463-0229'}, {'type': 'district', 'email': None, 'address': '612 Nolana\nSuite 410B\nMcallen, Texas 78504', 'name': 'District Office', 'phone': '956-972-1841', 'fax': '956-664-0602'}, {'type': 'district', 'email': None, 'address': '2820 S.P.I.D., Suite 291\nCorpus Christi, TX 78415', 'name': 'District Office', 'phone': '361-225-1200', 'fax': '361-225-0119'}]",Democratic,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1250.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist20/dist20.htm'}]
,26263,Mike,TXL000197,Jackson,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0111', 'fax': None}, {'type': 'district', 'email': None, 'address': '1109 Fairmont Parkway\nPasadena, TX 77504', 'name': 'District address', 'phone': '(713) 948-0111', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1270.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1270'}]
31,52862,Kel,TXL000203,Seliger,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0131', 'fax': '512-475-3733'}, {'type': 'district', 'email': None, 'address': 'P.O. Box 9155\nAmarillo, TX 79105', 'name': 'District Office', 'phone': '806-374-8994', 'fax': '806-374-4607'}, {'type': 'district', 'email': None, 'address': '401 Austin, Suite 101\nBig Spring, TX 79720', 'name': 'District Office', 'phone': '432-268-9909', 'fax': '432-268-9899'}, {'type': 'district', 'email': None, 'address': '6 Desta Drive, Suite 3360\nMidland, TX 79705', 'name': 'District Office', 'phone': '432-620-0436', 'fax': '432-686-7748'}, {'type': 'district', 'email': None, 'address': '6005 Eastridge Rd., Suite 210\nOdessa, Texas 79762', 'name': 'District Office', 'phone': '432-620-0436', 'fax': '432-686-7748'}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1460.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist31/dist31.htm'}]
19,35921,Carlos I.,TXL000206,Uresti,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0119', 'fax': '512-463-1017'}, {'type': 'district', 'email': None, 'address': '3315 Sidney Brooks Drive, Suite 100\nSan Antonio, Texas 78235', 'name': 'District Office', 'phone': '210-932-2568', 'fax': '210-932-2572'}, {'type': 'district', 'email': None, 'address': '501 Main Street, Suite 114\nEagle Pass, Texas 78852', 'name': 'District Office', 'phone': '830-758-0294', 'fax': '830-758-0402'}, {'type': 'district', 'email': None, 'address': '312 S. Cedar\nPecos, Texas 79772', 'name': 'District Office', 'phone': '432-447-0270', 'fax': '432-447-0275'}]",Democratic,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1605.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist19/dist19.htm'}]
,20909,Leticia,TXL000207,Van de Putte,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0126', 'fax': None}, {'type': 'district', 'email': None, 'address': '101 W. Nueva St., Suite 809\nSan Antonio, TX 78205', 'name': 'District address', 'phone': '210-733-6604', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1615.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1615'}]
,20977,Jeff,TXL000209,Wentworth,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '(512) 463-0125', 'fax': None}, {'type': 'district', 'email': None, 'address': '925 North Frost Center,, 1250 N.E. Loop 410\nSan Antonio, TX 78209', 'name': 'District address', 'phone': '(210) 826-7800', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1620.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1620'}]
,67656,Tommy,TXL000212,Williams,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068, Capitol Station\nAustin, TX 78711', 'name': 'Capitol address', 'phone': '512-463-0104', 'fax': None}, {'type': 'district', 'email': None, 'address': '2441 High Timbers, Suite 400\nThe Woodlands, TX 77380', 'name': 'District address', 'phone': '281-364-9426', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1655.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1655'}]
21,20971,Judith,TXL000213,Zaffirini,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0121', 'fax': None}, {'type': 'district', 'email': None, 'address': '1407 Washington Street\nLaredo, Texas 78042', 'name': 'District Office', 'phone': '956-722-2293', 'fax': None}]",Democratic,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1700.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist21/dist21.htm'}]
25,32574,Dennis,TXL000223,Bonnen,,"[{'type': 'capitol', 'email': None, 'address': 'Room 1W.6\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0564', 'fax': '512-463-8414'}, {'type': 'district', 'email': None, 'address': '122 E. Myrtle\nAngleton, TX 77515', 'name': 'District Office', 'phone': '979-848-1770', 'fax': '979-849-3169'}]",Republican,http://www.house.state.tx.us/photos/members/2250.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=25'}]
,20415,Edmund,TXL000298,Kuempel,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3450.jpg,"[{'retrieved': '2010-12-03 19:03:26', 'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A3450'}]"
99,29493,Charlie,TXL000264,Geren,,"[{'type': 'capitol', 'email': None, 'address': 'Room GW.17\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0610', 'fax': '512-463-8310'}, {'type': 'district', 'email': None, 'address': '1011 Roberts Cutoff\nRiver Oaks, TX 76114', 'name': 'District Office', 'phone': '817-738-8333', 'fax': '817-738-8362'}]",Republican,http://www.house.state.tx.us/photos/members/2945.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=99'}]
,37071,Mark,TXL000281,Homer,,[],,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3325.jpg,"[{'retrieved': '2010-12-03 19:02:54', 'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A3325'}]"
17,37510,Joan,TXL000196,Huffman,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0117', 'fax': '512-463-0639'}, {'type': 'district', 'email': None, 'address': 'P.O. Box 541774\nHouston, Texas 77254', 'name': 'District Office', 'phone': '281-980-3500', 'fax': None}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1260.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist17/dist17.htm'}]
22,39164,Joe,TXL000245,Deshotel,,"[{'type': 'capitol', 'email': None, 'address': 'Room GW.12\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0662', 'fax': '512-463-8381'}, {'type': 'district', 'email': None, 'address': '203\nPort Arthur, TX 77642', 'name': 'District Office', 'phone': '409-724-0788', 'fax': '409-724-0750'}]",Democratic,http://www.house.state.tx.us/photos/members/2690.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=22'}]
71,58137,Susan Lewis,TXL000293,King,,"[{'type': 'capitol', 'email': None, 'address': 'Room GN.12\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0718', 'fax': '512-463-0994'}, {'type': 'district', 'email': None, 'address': 'P. O. Box 2376\nAbilene, TX 79604', 'name': 'District Office', 'phone': '325-670-0384', 'fax': None}]",Republican,http://www.house.state.tx.us/photos/members/3460.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=71'}]
,58360,Joe,TXL000256,Farias,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol address', 'phone': '512-463-0714', 'fax': None}, {'type': 'district', 'email': None, 'address': 'P.O. Box 14505\nSan Antonio, TX 78214', 'name': 'District address', 'phone': '210-923-0908', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2820.jpg,"[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A2820'}, {'url': 'http://legacy.kvue.com/story/news/state/2015/08/10/state-rep-joe-farias-resigns/31442593/'}]"
49,20642,Elliott,TXL000319,Naishtat,,"[{'type': 'capitol', 'email': None, 'address': 'Room GW.16\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0668', 'fax': '512-463-8022'}, {'type': 'district', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'District Office', 'phone': '512-463-0668', 'fax': '512-463-8022'}]",Democratic,http://www.house.state.tx.us/photos/members/3885.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=49'}]
34,54318,Abel,TXL000278,Herrero,,"[{'type': 'capitol', 'email': None, 'address': 'Room GW.6\nP.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol Office', 'phone': '512-463-0462', 'fax': '512-463-1705'}, {'type': 'district', 'email': None, 'address': '606 N. Carancahua Suite 103A\nCorpus Christi, TX 78401', 'name': 'District Office', 'phone': '361-884-2277', 'fax': '361-884-6706'}]",Democratic,http://www.house.state.tx.us/photos/members/3140.jpg,[{'url': 'http://www.house.state.tx.us/members/member-page/?district=34'}]
,31204,Dan,TXL000224,Branch,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 2910\nAustin, TX 78768', 'name': 'Capitol address', 'phone': '512-463-0367', 'fax': None}, {'type': 'district', 'email': None, 'address': '3953 Maple Avenue, Ste. 100\nDallas, TX 75219', 'name': 'District address', 'phone': '214-745-5768', 'fax': None}]",,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2280.jpg,[{'url': 'http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=H&Code=A2280'}]
18,41354,Lois,TXL000297,Kolkhorst,,"[{'type': 'capitol', 'email': None, 'address': 'P.O. Box 12068\nCapitol Station\nAustin, Texas 78711', 'name': 'Capitol Office', 'phone': '512-463-0118', 'fax': None}, {'type': 'district', 'email': None, 'address': '2000 S. Market St. #101\nBrenham, TX 77833', 'name': 'District Office', 'phone': '979-251-7888', 'fax': None}, {'type': 'district', 'email': None, 'address': '22310 Grand Corner Dr., Suite 120\nKaty, TX 77494', 'name': 'District Office', 'phone': '281-394-5610', 'fax': None}, {'type': 'district', 'email': None, 'address': '5606 North Navarro #300X\nVictoria, TX 77904', 'name': 'District Office', 'phone': '361-573-7300', 'fax': None}]",Republican,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1105.jpg,[{'url': 'http://www.senate.state.tx.us/75r/Senate/members/dist18/dist18.htm'}]
